id,rotation_id,round_no,mode,content,is_reset_day,restrictions,required_type,required_alignment,required_gender,required_tags,cancel_effects,source_url,note
mff-abxl-r01-abx,mff-11-8-abxl-28-round,1,Extreme,ABX,true,"{""Speed"",""Hero"",""Female""}",Speed,Hero,Female,"{}","{""silence"",""paralyze"",""burn""}",https://thanosvibs.money/abxl,Speed + Hero + Female
mff-abxl-r01-abl,mff-11-8-abxl-28-round,1,Legend,ABL,true,"{""Universal"",""Male""}",Universal,,Male,"{}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,Universal + Male
mff-abxl-r01-ab,mff-11-8-abxl-28-round,1,Normal,AB,true,"{""Blast""}",Blast,,,"{}","{}",https://thanosvibs.money/abxl,Blast
mff-abxl-r02-abx,mff-11-8-abxl-28-round,2,Extreme,ABX,false,"{""No Restrictions""}",,,,"{}","{""paralyze"",""burn"",""silence""}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r02-abl,mff-11-8-abxl-28-round,2,Legend,ABL,false,"{""No Restrictions""}",,,,"{}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r02-ab,mff-11-8-abxl-28-round,2,Normal,AB,false,"{""No Restrictions""}",,,,"{}","{}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r03-infinitychallenge,mff-11-8-abxl-28-round,3,Infinite Challenge,Infinity Challenge,false,"{""No Restrictions""}",,,,"{}","{}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r04-abx,mff-11-8-abxl-28-round,4,Extreme,ABX,false,"{""Combat"",""Female""}",Combat,,Female,"{}","{""silence"",""paralyze"",""burn""}",https://thanosvibs.money/abxl,Combat + Female
mff-abxl-r04-abl,mff-11-8-abxl-28-round,4,Legend,ABL,false,"{""Villain"",""Human""}",,Villain,,"{""human""}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,Villain + Human
mff-abxl-r04-ab,mff-11-8-abxl-28-round,4,Normal,AB,false,"{""Speed""}",Speed,,,"{}","{}",https://thanosvibs.money/abxl,Speed
mff-abxl-r05-abx,mff-11-8-abxl-28-round,5,Extreme,ABX,false,"{""Speed"",""Villain""}",Speed,Villain,,"{}","{""silence"",""paralyze"",""burn""}",https://thanosvibs.money/abxl,Speed + Villain
mff-abxl-r05-abl,mff-11-8-abxl-28-round,5,Legend,ABL,false,"{""Blast"",""Hero""}",Blast,Hero,,"{}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,Blast + Hero
mff-abxl-r05-ab,mff-11-8-abxl-28-round,5,Normal,AB,false,"{""Universal""}",Universal,,,"{}","{}",https://thanosvibs.money/abxl,Universal
mff-abxl-r06-abx,mff-11-8-abxl-28-round,6,Extreme,ABX,false,"{""Universal"",""Villain""}",Universal,Villain,,"{}","{""silence"",""paralyze"",""burn""}",https://thanosvibs.money/abxl,Universal + Villain
mff-abxl-r06-abl,mff-11-8-abxl-28-round,6,Legend,ABL,false,"{""Combat"",""Villain"",""Male""}",Combat,Villain,Male,"{}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,Combat + Villain + Male
mff-abxl-r06-ab,mff-11-8-abxl-28-round,6,Normal,AB,false,"{""Female""}",,,Female,"{}","{}",https://thanosvibs.money/abxl,Female
mff-abxl-r07-abx,mff-11-8-abxl-28-round,7,Extreme,ABX,false,"{""Male"",""Mutant""}",,,Male,"{""mutant""}","{""paralyze"",""burn"",""silence""}",https://thanosvibs.money/abxl,Male + Mutant
mff-abxl-r07-abl,mff-11-8-abxl-28-round,7,Legend,ABL,false,"{""Villain"",""Alien""}",,Villain,,"{""alien""}","{""snare"",""fracture"",""shock""}",https://thanosvibs.money/abxl,Villain + Alien
mff-abxl-r07-ab,mff-11-8-abxl-28-round,7,Normal,AB,false,"{""Villain""}",,Villain,,"{}","{}",https://thanosvibs.money/abxl,Villain
mff-abxl-r08-abx,mff-11-8-abxl-28-round,8,Extreme,ABX,true,"{""Combat"",""Hero""}",Combat,Hero,,"{}","{""paralyze"",""burn"",""silence""}",https://thanosvibs.money/abxl,Combat + Hero
mff-abxl-r08-abl,mff-11-8-abxl-28-round,8,Legend,ABL,true,"{""Universal"",""Human""}",Universal,,,"{""human""}","{""snare"",""fracture""}",https://thanosvibs.money/abxl,Universal + Human
mff-abxl-r08-ab,mff-11-8-abxl-28-round,8,Normal,AB,true,"{""Combat""}",Combat,,,"{}","{}",https://thanosvibs.money/abxl,Combat
mff-abxl-r09-abx,mff-11-8-abxl-28-round,9,Extreme,ABX,false,"{""No Restrictions""}",,,,"{}","{""paralyze"",""burn"",""silence""}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r09-abl,mff-11-8-abxl-28-round,9,Legend,ABL,false,"{""No Restrictions""}",,,,"{}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r09-ab,mff-11-8-abxl-28-round,9,Normal,AB,false,"{""No Restrictions""}",,,,"{}","{}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r10-infinitychallenge,mff-11-8-abxl-28-round,10,Infinite Challenge,Infinity Challenge,false,"{""No Restrictions""}",,,,"{}","{}",https://thanosvibs.money/abxl,No Restrictions
mff-abxl-r11-abx,mff-11-8-abxl-28-round,11,Extreme,ABX,false,"{""Combat"",""Hero"",""Human""}",Combat,Hero,,"{""human""}","{""paralyze"",""silence"",""burn""}",https://thanosvibs.money/abxl,Combat + Hero + Human
mff-abxl-r11-abl,mff-11-8-abxl-28-round,11,Legend,ABL,false,"{""Villain"",""Male""}",,Villain,Male,"{}","{""snare"",""shock"",""fracture""}",https://thanosvibs.money/abxl,Villain + Male
