id,appearance_id,kind,source_skill_type,source_skill_id,name,cooldown,target,activation,icon,sort_order,source_url,raw_data
appearance-ability:captainamerica:leader-skill,captainamerica,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""The Avengers"",""baseCharacter"":true,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica:passive,captainamerica,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""The Avengers"",""baseCharacter"":true,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica:tier-2-passive,captainamerica,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""The Avengers"",""baseCharacter"":true,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica1:leader-skill,captainamerica1,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica1/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers: Age of Ultron"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica1:passive,captainamerica1,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica1/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers: Age of Ultron"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica1:tier-2-passive,captainamerica1,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica1/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers: Age of Ultron"",""baseCharacter"":false,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica1:uniform-passive,captainamerica1,uniform_effect,Uniform Passive,100015001,Avengers: Age of Ultron,20,,25 % rate when hit,captainamerica1,3,https://thanosvibs.money/api/characters/captainamerica1/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers: Age of Ultron"",""baseCharacter"":false,""sourceSkillId"":""100015001""}"
appearance-ability:captainamerica2:leader-skill,captainamerica2,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica2/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Secret Wars: 2099"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica2:passive,captainamerica2,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica2/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Secret Wars: 2099"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica2:tier-2-passive,captainamerica2,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica2/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Secret Wars: 2099"",""baseCharacter"":false,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica2:uniform-passive,captainamerica2,uniform_effect,Uniform Passive,100015101,Secret Wars: 2099,20,,15 % rate when hit,captainamerica2,3,https://thanosvibs.money/api/characters/captainamerica2/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Secret Wars: 2099"",""baseCharacter"":false,""sourceSkillId"":""100015101""}"
appearance-ability:captainamerica3:leader-skill,captainamerica3,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica3/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: The Winter Soldier"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica3:passive,captainamerica3,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica3/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: The Winter Soldier"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica3:tier-2-passive,captainamerica3,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica3/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: The Winter Soldier"",""baseCharacter"":false,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica3:uniform-passive,captainamerica3,uniform_effect,Uniform Passive,100015201,Marvel Studios' Captain America: The Winter Soldier,20,,25 % rate when hit,captainamerica3,3,https://thanosvibs.money/api/characters/captainamerica3/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: The Winter Soldier"",""baseCharacter"":false,""sourceSkillId"":""100015201""}"
appearance-ability:captainamerica4:leader-skill,captainamerica4,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica4/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: Civil War"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
