id,appearance_ability_id,stage_id,stage_order,effect_order,source_effect_id,ability_code,effect_name,description,duration,tick,persistent,metadata
appearance-ability:captainamerica:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica1:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica1:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica1:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica1:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica1:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica1:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica1:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica1:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica1:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica1:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
