id,character_id,name,is_default,sort_order,image_url,image_local_url,combat_type,side,gender,species,tags,source_url
abomination,abomination,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/abomination.png,/mff-assets/uniforms/abomination.webp,Combat,Villain,Male,Human,"{""Gamma Radiation"",""Durability"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-3""}",https://thanosvibs.money/api/characters/abomination/skills
abomination1,abomination,Infected Bioweapon,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/abomination1.png,/mff-assets/uniforms/abomination1.webp,Combat,Villain,Male,Human,"{""Gamma Radiation"",""Durability"",""Zombie"",""Physical"",""Instinct:Cruelty"",""Source:Original"",""Tier-3""}",https://thanosvibs.money/api/characters/abomination1/skills
absorbingman,absorbingman,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/absorbingman.png,/mff-assets/uniforms/absorbingman.webp,Combat,Villain,Male,Human,"{""Strong"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/absorbingman/skills
absorbingman1,absorbingman,Fear Itself,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/absorbingman1.png,/mff-assets/uniforms/absorbingman1.webp,Combat,Villain,Male,Human,"{""Strong"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/absorbingman1/skills
adamwarlock,adamwarlock,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/adamwarlock.png,/mff-assets/uniforms/adamwarlock.webp,Blast,Hero,Male,Creature,"{""Magic"",""Time Freezing Immunity"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/adamwarlock/skills
adamwarlock1,adamwarlock,Infinity Countdown,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/adamwarlock1.png,/mff-assets/uniforms/adamwarlock1.webp,Blast,Hero,Male,Creature,"{""Magic"",""Time Freezing Immunity"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/adamwarlock1/skills
adamwarlock2,adamwarlock,Marvel Studios' Guardians of the Galaxy 3,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/adamwarlock2.png,/mff-assets/uniforms/adamwarlock2.webp,Blast,Hero,Male,Creature,"{""Magic"",""Time Freezing Immunity"",""Energy"",""Instinct:Order"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/adamwarlock2/skills
aero,aero,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/aero.png,/mff-assets/uniforms/aero.webp,Speed,Hero,Female,Human,"{""Leadership"",""Fast Movement"",""Energy"",""Instinct:Justice"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/aero/skills
aero1,aero,Classic,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/aero1.png,/mff-assets/uniforms/aero1.webp,Speed,Hero,Female,Human,"{""Leadership"",""Fast Movement"",""Energy"",""Instinct:Justice"",""Source:Original"",""Transcended""}",https://thanosvibs.money/api/characters/aero1/skills
sharoncarter,agent13,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/sharoncarter.png,/mff-assets/uniforms/sharoncarter.webp,Speed,Hero,Female,Human,"{""Agent"",""Physical"",""Energy"",""Instinct:Justice"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/sharoncarter/skills
sharoncarter1,agent13,Marvel Studios' Captain America: Civil War,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/sharoncarter1.png,/mff-assets/uniforms/sharoncarter1.webp,Speed,Hero,Female,Human,"{""Agent"",""Physical"",""Energy"",""Instinct:Justice"",""Source:Mcu"",""Transcended""}",https://thanosvibs.money/api/characters/sharoncarter1/skills
agentvenom,agentvenom,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/agentvenom.png,/mff-assets/uniforms/agentvenom.webp,Combat,Hero,Male,Human,"{""Symbiote"",""Leadership"",""Agent"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/agentvenom/skills
agentvenom1,agentvenom,Agent Anti-Venom,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/agentvenom1.png,/mff-assets/uniforms/agentvenom1.webp,Combat,Hero,Male,Human,"{""Symbiote"",""Leadership"",""Agent"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/agentvenom1/skills
agentvenom2,agentvenom,Classic,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/agentvenom2.png,/mff-assets/uniforms/agentvenom2.webp,Combat,Hero,Male,Human,"{""Symbiote"",""Leadership"",""Agent"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/agentvenom2/skills
agentvenom3,agentvenom,Guardians of the Galaxy,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/agentvenom3.png,/mff-assets/uniforms/agentvenom3.webp,Combat,Hero,Male,Human,"{""Symbiote"",""Leadership"",""Agent"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/agentvenom3/skills
americachavez,americachavez,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/americachavez.png,/mff-assets/uniforms/americachavez.webp,Combat,Hero,Female,Human,"{""Strong"",""Fast Movement"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/americachavez/skills
