id,name,portrait_url,portrait_local_url,combat_type,side,gender,species,tags,source,source_url
abomination,Abomination,https://thanosvibs.money/static/assets/portraits_128/abomination1.png,/mff-assets/characters/abomination1.webp,Combat,Villain,Male,Human,"{""Gammaradiation"",""Durability"",""Zombie"",""Physical"",""Instinct:Cruelty"",""Source:Original"",""Tier-3"",""Source:Comic"",""lead-support-data"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
absorbingman,Absorbing Man,https://thanosvibs.money/static/assets/portraits_128/absorbingman1.png,/mff-assets/characters/absorbingman1.webp,Combat,Villain,Male,Human,"{""Strong"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
adamwarlock,Adam Warlock,https://thanosvibs.money/static/assets/portraits_128/adamwarlock2.png,/mff-assets/characters/adamwarlock2.webp,Blast,Hero,Male,Creature,"{""Magic"",""Timefreezingimmunity"",""Energy"",""Instinct:Order"",""Source:Mcu"",""Tier-4"",""Tier-3"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
aero,Aero,https://thanosvibs.money/static/assets/portraits_128/aero1.png,/mff-assets/characters/aero1.webp,Speed,Hero,Female,Human,"{""Leadership"",""Fastmovement"",""Energy"",""Instinct:Justice"",""Source:Original"",""Transcended"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
agent13,Agent 13,https://thanosvibs.money/static/assets/portraits_128/sharoncarter1.png,/mff-assets/characters/sharoncarter1.webp,Speed,Hero,Female,Human,"{""Agent"",""Physical"",""Energy"",""Instinct:Justice"",""Source:Mcu"",""Transcended"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
agentvenom,Agent Venom,https://thanosvibs.money/static/assets/portraits_128/agentvenom3.png,/mff-assets/characters/agentvenom3.webp,Combat,Hero,Male,Human,"{""Symbiote"",""Leadership"",""Agent"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended"",""lead-support-data"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
amadeuscho,Amadeus Cho,https://thanosvibs.money/static/assets/portraits_128/amadeuscho3.png,/mff-assets/characters/amadeuscho3.webp,Speed,Hero,Male,Human,"{""Gammaradiation"",""Durability"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
americachavez,America Chavez,https://thanosvibs.money/static/assets/portraits_128/americachavez3.png,/mff-assets/characters/americachavez3.webp,Combat,Hero,Female,Human,"{""Strong"",""Fastmovement"",""Youngavengers"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
ancientone,Ancient One,https://thanosvibs.money/static/assets/portraits_128/ancientone3.png,/mff-assets/characters/ancientone3.webp,Blast,Hero,Male,Human,"{""Magic"",""Leadership"",""Energy"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3"",""Source:Comic"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
angel,Angel,https://thanosvibs.money/static/assets/portraits_128/angel3.png,/mff-assets/characters/angel3.webp,Speed,Hero,Male,Mutant,"{""Fastmovement"",""Leadership"",""Physical"",""Instinct:Order"",""Source:Original"",""Tier-4"",""Transcended"",""Energy"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
angela,Angela,https://thanosvibs.money/static/assets/portraits_128/angela3.png,/mff-assets/characters/angela3.webp,Universal,Hero,Female,Alien,"{""Weaponsmaster"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended"",""Flame"",""Fire"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
antman,Ant-Man,https://thanosvibs.money/static/assets/portraits_128/antman6.png,/mff-assets/characters/antman6.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
antiman,Anti-Man,https://thanosvibs.money/static/assets/portraits_128/antiman1.png,/mff-assets/characters/antiman1.webp,Universal,Villain,Male,Human,"{""Fastmovement"",""Energyprojection"",""Energy"",""Instinct:Cruelty"",""Source:Comic"",""Tier-3"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
apocalypse,Apocalypse,https://thanosvibs.money/static/assets/portraits_128/apocalypse2.png,/mff-assets/characters/apocalypse2.webp,Combat,Villain,Male,Mutant,"{""Fastmovement"",""Pureevil"",""Durability"",""Energy"",""Mind"",""Instinct:Destruction"",""Source:Comic"",""Tier-4"",""Tier-3"",""Physical"",""Fire"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
arachknight,Arachknight,https://thanosvibs.money/static/assets/portraits_128/arachknight1.png,/mff-assets/characters/arachknight1.webp,Speed,Hero,Male,Human,"{""Leadership"",""Infinitywarps"",""Spider Sense"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Transcended"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
