character_id,name,acquisition,season,cost,release_update,release_date,image_url,image_local_url,source_url
abomination,Infected Bioweapon,Halloween Exclusive (1750 Crystals),Halloween,1750 Crystals,Update 10.4.5,"October 30, 2024",https://thanosvibs.money/static/assets/portraits_128/abomination1.png,/mff-assets/uniforms/abomination1.webp,https://thanosvibs.money/uniforms
absorbingman,Fear Itself,1750 Crystals,,1750 Crystals,Update 8.3,"August 10, 2022",https://thanosvibs.money/static/assets/portraits_128/absorbingman1.png,/mff-assets/uniforms/absorbingman1.webp,https://thanosvibs.money/uniforms
adamwarlock,Infinity Countdown,2500 Crystals,,2500 Crystals,Update 7.8,"February 3, 2022",https://thanosvibs.money/static/assets/portraits_128/adamwarlock1.png,/mff-assets/uniforms/adamwarlock1.webp,https://thanosvibs.money/uniforms
adamwarlock,Marvel Studios' Guardians of the Galaxy 3,2500 Crystals,,2500 Crystals,Update 9.0.5b,"May 31, 2023",https://thanosvibs.money/static/assets/portraits_128/adamwarlock2.png,/mff-assets/uniforms/adamwarlock2.webp,https://thanosvibs.money/uniforms
aero,Classic,1750 Crystals,,1750 Crystals,Update 7.4,"September 8, 2021",https://thanosvibs.money/static/assets/portraits_128/aero1.png,/mff-assets/uniforms/aero1.webp,https://thanosvibs.money/uniforms
agent13,Marvel Studios' Captain America: Civil War,500000 Gold,,500000 Gold,Update 2.3,"July 14, 2016",https://thanosvibs.money/static/assets/portraits_128/sharoncarter1.png,/mff-assets/uniforms/sharoncarter1.webp,https://thanosvibs.money/uniforms
agentvenom,Agent Anti-Venom,500000 Gold,,500000 Gold,Update 4.4,"September 13, 2018",https://thanosvibs.money/static/assets/portraits_128/agentvenom1.png,/mff-assets/uniforms/agentvenom1.webp,https://thanosvibs.money/uniforms
agentvenom,Classic,1750 Crystals,,1750 Crystals,Update 8.4,"September 21, 2022",https://thanosvibs.money/static/assets/portraits_128/agentvenom2.png,/mff-assets/uniforms/agentvenom2.webp,https://thanosvibs.money/uniforms
agentvenom,Guardians of the Galaxy,1750 Crystals,,1750 Crystals,Update 10.5,"November 20, 2024",https://thanosvibs.money/static/assets/portraits_128/agentvenom3.png,/mff-assets/uniforms/agentvenom3.webp,https://thanosvibs.money/uniforms
amadeuscho,Heroic Age,1750 Crystals,,1750 Crystals,Update 11.4.5,"November 19, 2025",https://thanosvibs.money/static/assets/portraits_128/amadeuscho3.png,/mff-assets/uniforms/amadeuscho3.webp,https://thanosvibs.money/uniforms
americachavez,Classic,1750 Crystals,,1750 Crystals,Update 7.2.5,"July 14, 2021",https://thanosvibs.money/static/assets/portraits_128/americachavez1.png,/mff-assets/uniforms/americachavez1.webp,https://thanosvibs.money/uniforms
americachavez,Marvel Studios' Doctor Strange 2,1750 Crystals,,1750 Crystals,Update 8.0,"April 27, 2022",https://thanosvibs.money/static/assets/portraits_128/americachavez2.png,/mff-assets/uniforms/americachavez2.webp,https://thanosvibs.money/uniforms
americachavez,Young Avengers,1750 Crystals,,1750 Crystals,Update 11.5,"December 11, 2025",https://thanosvibs.money/static/assets/portraits_128/americachavez3.png,/mff-assets/uniforms/americachavez3.webp,https://thanosvibs.money/uniforms
ancientone,Marvel Studios' Doctor Strange,500000 Gold,,500000 Gold,Update 2.6,"October 26, 2016",https://thanosvibs.money/static/assets/portraits_128/ancientone1.png,/mff-assets/uniforms/ancientone1.webp,https://thanosvibs.money/uniforms
ancientone,The Monk of Kamar-Taj,April Fools Exclusive (1750 Crystals),April Fool's,1750 Crystals,Update 10.8.5a,"April 2, 2025",https://thanosvibs.money/static/assets/portraits_128/ancientone3.png,/mff-assets/uniforms/ancientone3.webp,https://thanosvibs.money/uniforms
ancientone,Unleashed Mystic,1750 Crystals,,1750 Crystals,Update 8.0.5,"May 11, 2022",https://thanosvibs.money/static/assets/portraits_128/ancientone2.png,/mff-assets/uniforms/ancientone2.webp,https://thanosvibs.money/uniforms
angel,All-New X-Men,1750 Crystals,,1750 Crystals,Update 8.6,"December 7, 2022",https://thanosvibs.money/static/assets/portraits_128/angel2.png,/mff-assets/uniforms/angel2.webp,https://thanosvibs.money/uniforms
angel,Fallen One,April Fools Exclusive (1750 Crystals),April Fool's,1750 Crystals,Update 9.9,"March 27, 2024",https://thanosvibs.money/static/assets/portraits_128/angel3.png,/mff-assets/uniforms/angel3.webp,https://thanosvibs.money/uniforms
angela,"All-New, All-Different",500000 Gold,,500000 Gold,Update 1.9,"January 20, 2016",https://thanosvibs.money/static/assets/portraits_128/angela2.png,/mff-assets/uniforms/angela2.webp,https://thanosvibs.money/uniforms
